,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
14/02/2022,5.441632426,0.198884681,2.749069624,0.13895224,3.541303098,1.251709841,1.429660353,3.366741722,2.00051611,4.024319588,0.576062003,6.056614355,0.190800909,6.655596092,7.292909947,7.891831397,3.515019939,7.843736629,1.011220042,0.13906897,0.139164476,0.139019215,0.143207079,0.139227764,0.139157158,0.139233821,0.139322971,0.139768406,0.139228336,0.139554441,0.139328265,0.139350941,0.138988529,0.139268387,0.139602065,6.052860114,3.06441943,6.493239763,6.633775774,0.637143454,2.114539743,6.440914751,0.393491108,0.392949219,4.023463479,5.594383507,0.662701433,0.13955312
15/02/2022,0.139645243,0.951494309,0.139063009,0.939779343,1.24415676,6.575157805,5.673037894,5.964784302,2.00051611,0.141564675,0.139193201,0.310186497,4.35249256,4.602393679,5.929301053,0.229684646,5.312915143,5.130081451,0.139294659,0.138743996,0.139458084,2.940292231,3.268614863,0.247324727,0.527901109,7.155859434,0.139857352,0.139231684,0.150023811,0.139076213,0.139087151,0.139013524,7.060731265,0.138706979,0.139087408,0.139240905,1.501855689,6.022920255,6.290356792,0.305121275,0.140762934,5.933925681,4.691900474,0.616580602,0.223262131,1.847694577,2.147437624,0.13955312
16/02/2022,0.139771789,2.850168723,0.651316612,1.726927547,0.423751018,1.531985433,0.140374131,0.139036614,0.139547013,0.631753978,0.144014254,6.531439441,1.593589546,0.192144389,0.143068555,0.138919718,4.29159333,0.699421145,5.461014821,0.13885598,3.286911678,2.940292231,0.139164203,1.565450722,2.960413185,0.139849192,0.139136464,0.1388939,0.139199296,0.139368199,0.139809294,0.139514128,0.1393879,5.118060753,0.370745106,4.116677866,0.139801156,7.756958835,4.164282796,1.772769497,0.139366348,6.030636577,2.047698379,0.138653855,0.139755478,0.139496371,4.47803048,0.139961187
17/02/2022,0.139115319,0.138539143,5.055769861,0.240956995,3.734249509,1.918518322,0.396210902,6.089145758,0.160031996,0.138123219,0.139047467,0.393348612,6.462905166,5.668651566,0.138966464,0.138943852,0.142909988,0.146707187,6.807593997,0.782852771,5.636777727,0.138623056,3.219275629,0.13905746,2.327222226,0.1387242,4.820701554,1.376539463,4.348274328,0.905621707,0.139274675,5.180425239,0.13910974,2.540784851,5.756604608,0.667519768,0.369405245,7.756958835,0.329007861,1.696108376,6.1996476,1.282395297,0.73453617,0.139075581,0.13928837,0.139496371,1.841135944,1.075417763
18/02/2022,0.139707324,0.138539143,2.605966746,0.140996567,6.502947939,4.952268204,6.928736543,5.661131594,0.138812332,4.907220993,2.480564071,6.926020602,7.52807121,0.808692325,0.138998399,0.141387577,3.059541794,4.472759505,0.695352971,0.696265646,1.091340724,0.138430329,0.138787854,2.726153252,0.167850204,3.042294755,0.139503063,1.965490089,1.488892146,6.540676205,1.540987626,0.246465611,5.824866783,2.799293442,2.517038975,0.391078,1.180830036,0.923152401,7.070039533,7.230899654,0.448995384,6.505679596,1.825992454,0.139290864,4.369218487,3.058967091,0.262456146,4.97673992
19/02/2022,1.845441855,1.845033175,1.836981146,1.831480839,1.819311586,1.822742088,1.821862485,1.82186336,1.821918307,1.824193049,1.834062548,1.83140374,1.847498016,1.83807658,2.790776592,7.31297008,4.861496845,5.759360501,6.191414846,6.586338762,6.969877158,4.308483697,5.48952792,5.214933017,1.943288221,6.267738457,5.315995777,1.795871382,2.243026371,6.39560552,6.770282602,4.276498172,2.419433089,6.760256205,4.727611643,2.079085581,6.341480201,5.800160858,1.78323717,5.534744551,7.037717864,1.795391599,2.381350653,5.433775877,7.366367375,6.336789787,1.761830237,4.328463145
20/02/2022,7.061400918,2.768311822,3.388803764,7.056174477,2.427282558,4.066134491,5.460572449,2.868687867,6.985349836,4.180090904,1.985893437,6.324407906,3.476531921,6.317685424,7.200994729,2.330286747,4.516146664,7.061347483,6.234176073,1.748881575,2.900304115,4.778173456,2.651045744,6.839900007,3.636436119,1.697111195,1.720792376,5.73082259,3.38369284,4.544148623,7.133529946,1.755659684,4.469025661,6.861446679,5.296463038,1.964835755,6.158130013,7.062467831,3.377743559,2.882381968,6.939975374,5.778833935,1.725010232,5.794184618,7.147199386,2.984756456,3.155576305,3.696372434
21/02/2022,7.122631236,6.288222415,5.83696875,1.908748273,6.141621472,7.050515112,3.571744372,3.26139598,6.985614225,6.881099023,1.702392151,4.585054124,7.093363656,4.867313717,2.156462619,6.448988243,2.763137837,3.424707925,5.612349761,7.10440974,2.750072079,2.373095477,2.079637808,1.551167517,3.772647518,4.260407677,1.54489107,3.13207443,1.535114131,3.659262264,1.535507393,3.186883234,1.529615884,4.143958303,2.918827461,5.836841528,7.01934807,3.862219333,2.86592024,6.978558041,4.952775014,1.805963634,5.94340654,4.564736325,7.412604963,6.843234235,1.780483648,5.034280323
22/02/2022,7.143270001,3.483208333,2.986143625,7.078244263,4.752002857,1.760354266,6.039657425,7.241858953,3.000220716,3.406393234,7.081908413,5.121581068,1.750206242,6.071869848,7.282594599,1.948773561,4.121013713,7.427038969,5.117591643,1.753808866,1.756884369,4.579696583,4.577679579,1.751718165,2.733932696,6.607124678,3.110716611,1.701589148,1.703284328,4.435268258,6.160036801,1.650300458,2.220440006,6.347212387,4.262592789,1.94616061,5.98581761,7.048325625,5.081389833,1.792860409,5.95613031,6.907405033,1.71453252,4.300520801,4.876549185,3.703946108,6.945036771,3.715273382
23/02/2022,2.488935594,6.774144256,6.451115078,2.060686626,3.816275744,6.968142154,4.672139535,1.697518511,5.712082967,7.273778707,4.883566163,2.401206768,4.356948617,4.73618306,5.913968158,7.197393938,5.050272612,1.791487093,6.506066212,5.988031942,1.774240643,2.513057785,5.880137831,1.736309062,1.713243578,1.705957678,1.98353283,5.548221337,1.704110806,1.715170858,1.697938255,4.626566023,7.089834087,3.67893425,2.680443809,6.729592934,3.758166218,1.805290969,4.506189684,4.482228461,6.168036467,1.808239368,4.04972906,6.774526096,7.34655242,9.920356377,12.86331422,8.232708482
24/02/2022,5.081219248,6.148021123,1.783784866,3.995995786,5.598506042,1.791095588,4.711987147,5.124814287,1.779103439,5.023647807,2.790249489,4.189889212,6.2991009,1.780289028,3.168208026,6.917723785,1.840725493,2.023834262,6.118036,3.362277874,1.909936393,4.991880632,2.096523321,6.213368466,3.000835086,1.766949846,5.448393142,3.750703823,1.774791974,5.843537499,3.903350532,1.775984233,5.71033985,2.306535635,1.513792655,1.517977305,5.561935497,6.990140734,1.938705486,2.07438784,6.20998127,4.278756532,1.793606978,5.550386696,4.926068357,1.800416578,4.931949396,5.3072051
25/02/2022,5.441632426,0.198884681,2.749069624,0.13895224,3.541303098,1.251709841,1.429660353,3.366741722,2.00051611,4.024319588,0.576062003,6.056614355,0.190800909,6.655596092,7.292909947,7.891831397,3.515019939,7.843736629,1.011220042,0.13906897,0.139164476,0.139019215,0.143207079,0.139227764,0.139157158,0.139233821,0.139322971,0.139768406,0.139228336,0.139554441,0.139328265,0.139350941,0.138988529,0.139268387,0.139602065,6.052860114,3.06441943,6.493239763,6.633775774,0.637143454,2.114539743,6.440914751,0.393491108,0.392949219,4.023463479,5.594383507,0.662701433,0.13955312
26/02/2022,0.139645243,0.951494309,0.139063009,0.939779343,1.24415676,6.575157805,5.673037894,5.964784302,2.00051611,0.141564675,0.139193201,0.310186497,4.35249256,4.602393679,5.929301053,0.229684646,5.312915143,5.130081451,0.139294659,0.138743996,0.139458084,2.940292231,3.268614863,0.247324727,0.527901109,7.155859434,0.139857352,0.139231684,0.150023811,0.139076213,0.139087151,0.139013524,7.060731265,0.138706979,0.139087408,0.139240905,1.501855689,6.022920255,6.290356792,0.305121275,0.140762934,5.933925681,4.691900474,0.616580602,0.223262131,1.847694577,2.147437624,0.13955312
27/02/2022,0.139771789,2.850168723,0.651316612,1.726927547,0.423751018,1.531985433,0.140374131,0.139036614,0.139547013,0.631753978,0.144014254,6.531439441,1.593589546,0.192144389,0.143068555,0.138919718,4.29159333,0.699421145,5.461014821,0.13885598,3.286911678,2.940292231,0.139164203,1.565450722,2.960413185,0.139849192,0.139136464,0.1388939,0.139199296,0.139368199,0.139809294,0.139514128,0.1393879,5.118060753,0.370745106,4.116677866,0.139801156,7.756958835,4.164282796,1.772769497,0.139366348,6.030636577,2.047698379,0.138653855,0.139755478,0.139496371,4.47803048,0.139961187
28/02/2022,0.139115319,0.138539143,5.055769861,0.240956995,3.734249509,1.918518322,0.396210902,6.089145758,0.160031996,0.138123219,0.139047467,0.393348612,6.462905166,5.668651566,0.138966464,0.138943852,0.142909988,0.146707187,6.807593997,0.782852771,5.636777727,0.138623056,3.219275629,0.13905746,2.327222226,0.1387242,4.820701554,1.376539463,4.348274328,0.905621707,0.139274675,5.180425239,0.13910974,2.540784851,5.756604608,0.667519768,0.369405245,7.756958835,0.329007861,1.696108376,6.1996476,1.282395297,0.73453617,0.139075581,0.13928837,0.139496371,1.841135944,1.075417763
01/03/2022,1.787351715,5.131767715,5.340852237,1.771746791,4.52717645,5.227391937,1.770470506,5.181508161,4.958195464,2.74757442,6.230537036,4.105636077,2.237067194,6.550298447,4.022014246,2.348148343,6.818907116,3.603764745,1.801379583,4.410552739,5.028040617,1.770069037,4.127368195,7.223240791,3.244574603,1.776523012,5.718497374,3.873697897,1.988069709,6.119670482,3.572984005,1.896954704,6.069433265,3.757572539,1.969329892,5.583036568,1.775887487,5.817885344,3.519963031,0.445831358,3.550800304,1.728192921,2.073614879,1.739784675,1.156687054,1.018623749,0.974057501,1.009628039
02/03/2022,0.680497576,0.793416266,0.435069971,0.432190391,0.623653312,0.53978424,0.698700026,0.606032588,0.434408554,0.424003361,0.818399007,0.64230691,0.561304963,0.609115154,0.614438823,0.421246084,6.28211867,5.777218219,6.320615108,6.764664098,8.255093837,7.47452797,2.096746349,0.782616959,6.67706095,3.448457802,0.409862514,6.438829673,3.540800736,1.107443089,6.909390019,2.70197977,0.73776387,5.695009152,0.151612511,0.13959799,6.084588748,7.632529497,3.864046576,2.867135078,7.593775489,2.941942706,0.936098842,6.903702972,1.933246777,0.144661988,0.145070725,3.45340441
03/03/2022,2.871506224,2.345530087,2.933804606,2.166514803,2.846630446,2.554181031,2.000567302,3.267499418,1.409020391,3.970091449,0.22421658,4.967961276,3.280540182,4.043112571,7.651834818,1.762283626,0.143968812,0.144674032,3.663695554,2.199390057,3.545953517,2.166551983,7.212434959,2.203236901,1.499346531,7.24086507,1.010081247,4.470760708,4.806694924,0.293785083,5.829326677,7.305267181,2.629647393,1.05012163,7.406170063,5.410231826,0.387167615,5.641306941,5.302066382,0.344710542,3.551527684,6.642881099,0.393382147,4.952759436,4.573580557,0.281289058,6.622271814,3.609322497
04/03/2022,1.186290662,7.205373169,0.95052963,4.012505986,5.497105033,0.361774309,6.15952076,7.947165259,1.788730663,1.732616577,7.56128278,1.459222801,3.064196412,7.676226715,0.805725331,2.998650411,6.746591427,0.391663642,4.711612746,4.313108038,0.213768163,0.963157262,0.963157262,0.145138733,0.139564262,0.145445272,0.894039404,1.542375215,7.522454639,1.758562256,2.842898737,0.139512567,4.74221297,0.208739407,5.095028796,7.615251267,0.705327561,2.024553141,7.17809677,0.394590585,3.387388734,7.48408735,0.453881004,3.773520004,6.430806989,0.393102735,5.049954498,5.845818841
05/03/2022,0.392916243,5.992413101,8.019815329,2.072470111,2.519020662,7.733631506,1.298781419,1.37279847,7.393425362,2.657481715,2.034917745,7.644870995,1.073020999,3.792664305,7.49327854,0.403674682,4.560164835,5.173800722,0.392694602,4.38029213,3.670184267,0.348591195,2.797829373,5.321122992,0.283817034,0.22761357,0.194463096,0.230144663,4.305897908,1.445563256,0.21758287,1.974255371,5.224047387,0.207106446,5.859770101,3.476772096,2.10568277,7.38579871,0.717697981,2.167923375,7.360699666,0.472651623,2.757926558,7.5252077,3.657135661,0.716531505,3.425829355,2.5121746
06/03/2022,5.737037639,6.127662172,0.354836828,3.825969527,5.263676453,0.392341104,6.101730602,4.86264219,0.393077122,6.255883448,4.507532202,0.405841767,6.558988672,4.197371174,0.977619657,7.376070981,6.847025186,0.392719159,3.355067015,5.895857542,0.391436399,3.571100887,5.42513022,0.37405765,2.784592516,7.468505905,0.44802911,0.688591107,4.598849977,1.360382742,6.494308455,0.345948473,3.885602983,5.237703961,0.684757006,6.875894829,6.208009133,0.39301086,6.203445083,4.921147167,0.806099843,6.91801768,3.954622841,1.978956736,10.84430888,10.12319684,14.38586543,7.598400033
07/03/2022,4.45735059,6.663016131,0.392580404,5.706940185,5.059742018,0.805539337,6.874333929,3.618173779,1.818037555,7.614689408,3.014134754,1.289420345,7.341282165,2.753282209,2.41245611,7.42576053,0.426425164,4.210255207,5.653757196,1.099347572,5.828480511,3.609838475,1.435533704,7.392165401,1.08036375,0.410475365,6.20281964,1.885748351,0.316731691,0.246359072,0.177563957,0.145044545,2.53338603,3.869021814,0.492276862,6.526692751,7.456143109,3.090474319,1.452399657,7.438892991,1.939059373,2.115281947,6.811439799,1.294364357,6.699054982,3.999442964,2.179363637,7.624176599
08/03/2022,1.437758095,3.933496467,7.675203636,0.900723603,3.540715328,7.590367895,1.553768388,4.292814666,7.391915883,0.393810377,6.181328915,7.930164332,1.813001957,3.572527599,7.811777761,2.298133065,2.360701479,3.61785712,6.627308407,0.406289591,4.553425109,4.916597071,0.392425818,5.397803909,7.577618615,0.175102511,0.361668752,0.312774848,3.881088917,7.149192107,0.699534991,2.338911528,7.257706191,0.682255996,2.836080748,6.982420267,0.310736323,1.338411427,7.295578918,5.264558681,0.336488119,4.985043445,4.39622062,0.347091362,5.79688386,1.84446629,0.139776021,3.443549657
09/03/2022,5.737037639,6.127662172,0.354836828,3.825969527,5.263676453,0.392341104,6.101730602,4.86264219,0.393077122,6.255883448,4.507532202,0.405841767,6.558988672,4.197371174,0.977619657,7.376070981,6.847025186,0.392719159,3.355067015,5.895857542,0.391436399,3.571100887,5.42513022,0.37405765,2.784592516,7.468505905,0.44802911,0.688591107,4.598849977,1.360382742,6.494308455,0.345948473,3.885602983,5.237703961,0.684757006,6.875894829,6.208009133,0.39301086,6.203445083,4.921147167,0.806099843,6.91801768,3.954622841,1.978956736,10.84430888,10.12319684,14.38586543,7.598400033
10/03/2022,4.45735059,6.663016131,0.392580404,5.706940185,5.059742018,0.805539337,6.874333929,3.618173779,1.818037555,7.614689408,3.014134754,1.289420345,7.341282165,2.753282209,2.41245611,7.42576053,0.426425164,4.210255207,5.653757196,1.099347572,5.828480511,3.609838475,1.435533704,7.392165401,1.08036375,0.410475365,6.20281964,1.885748351,0.316731691,0.246359072,0.177563957,0.145044545,2.53338603,3.869021814,0.492276862,6.526692751,7.456143109,3.090474319,1.452399657,7.438892991,1.939059373,2.115281947,6.811439799,1.294364357,6.699054982,3.999442964,2.179363637,7.624176599
11/03/2022,1.437758095,3.933496467,7.675203636,0.900723603,3.540715328,7.590367895,1.553768388,4.292814666,7.391915883,0.393810377,6.181328915,7.930164332,1.813001957,3.572527599,7.811777761,2.298133065,2.360701479,3.61785712,6.627308407,0.406289591,4.553425109,4.916597071,0.392425818,5.397803909,7.577618615,0.175102511,0.361668752,0.312774848,3.881088917,7.149192107,0.699534991,2.338911528,7.257706191,0.682255996,2.836080748,6.982420267,0.310736323,1.338411427,7.295578918,5.264558681,0.336488119,4.985043445,4.39622062,0.347091362,5.79688386,1.84446629,0.139776021,3.443549657
12/03/2022,3.367787318,2.574233533,1.423843617,3.826633199,3.17920642,2.472803873,1.149331015,4.296195736,0.166300017,2.459422992,0.822558365,6.00899042,0.45550249,6.810682174,7.761191043,1.037714672,2.588304154,7.578490593,0.251947583,0.136094565,0.13952878,3.540518745,0.135627317,5.610986691,0.750462324,3.040195643,3.527053933,3.010398328,1.09749455,5.827821117,3.565446319,5.226930979,0.218429925,3.649283761,2.343276511,6.210870887,1.072713223,6.98492352,1.073769824,1.641620893,7.295129227,0.450592281,2.611481708,6.666996131,0.375332956,4.388406153,2.138362571,0.138966284
13/03/2022,5.888374843,0.251834062,4.126498046,0.786133354,3.017396245,2.255432113,1.872568575,3.788723201,0.515150709,3.096969368,0.134614428,5.119633432,0.139646242,6.515372504,7.771568436,0.465325014,1.916182884,7.18574754,0.173875604,0.133895647,0.141459239,1.738973604,2.626580688,2.035992784,5.594125209,3.616398039,0.136420194,0.141458581,0.136909546,3.023714702,2.330338224,2.864875009,2.718412688,6.528052907,1.396482801,0.1392329,6.254445673,5.527590959,0.377358244,4.948235084,4.809000678,0.380022074,6.623969352,3.166268263,7.97745932,12.7095312,6.519455229,6.436235936
14/03/2022,1.096869893,4.100632331,2.089350672,3.770276245,1.072450103,4.723580871,0.136661417,4.933257482,0.745999716,3.983088191,2.344462176,2.601636391,3.651084611,7.800774587,6.531463654,0.390404728,0.143135209,0.137100008,3.481203016,2.099148543,2.987541627,0.134258585,0.639293283,0.81499606,0.13813986,1.327868173,1.683546486,1.446615878,1.929803641,0.136418037,0.135395171,0.138520408,0.136984277,3.421105337,3.071995484,1.055886031,6.819183307,3.508232296,0.389792122,5.917942804,2.05184348,0.381725602,6.481892663,3.177961093,2.044028803,2.749878095,0.138729373,3.814399942
15/03/2022,1.118101387,3.173900856,2.31560908,2.53290702,3.272126086,1.422636056,4.439622002,0.192034239,4.377124912,0.822711799,4.002057858,2.114322597,2.602487874,6.407208424,7.533364436,2.81555991,0.137003137,0.141491245,0.364228957,4.703871173,0.827234981,1.820578411,0.299065842,0.497845196,1.941076742,0.139619365,1.368396915,0.138948129,2.909191393,0.139058662,3.298469464,0.139003063,4.480100463,0.373174925,3.434592496,1.82048502,7.589710671,5.378255697,0.392614206,2.338424226,7.367944158,0.461891265,1.276255952,7.137493762,0.426269122,0.139548742,0.143352509,2.587598382
16/03/2022,1.118101387,3.173900856,2.31560908,2.53290702,3.272126086,1.422636056,4.439622002,0.192034239,4.377124912,0.822711799,4.002057858,2.114322597,2.602487874,6.407208424,7.533364436,2.81555991,0.137003137,0.141491245,0.364228957,4.703871173,0.827234981,1.820578411,0.299065842,0.497845196,1.941076742,0.139619365,1.368396915,0.138948129,2.909191393,0.139058662,3.298469464,0.139003063,4.480100463,0.373174925,3.434592496,1.82048502,7.589710671,5.378255697,0.392614206,2.338424226,7.367944158,0.461891265,1.276255952,7.137493762,0.426269122,0.139548742,0.143352509,2.587598382
17/03/2022,2.006118503,0.266955243,3.48917617,0.229360563,3.711885933,0.139653806,5.221279849,1.04122553,6.721411313,0.402408924,2.203167161,6.148028719,4.905229679,5.827664951,8.547121423,7.891831397,0.231438886,0.138672882,0.14187132,3.917187807,0.802326592,1.914657603,0.138747207,0.834629722,1.941076742,5.460896822,0.13870309,0.138755722,0.143953349,5.697235317,1.240129653,7.823230582,0.138941774,3.407827716,0.139345859,4.445930474,6.485618723,2.794474797,0.350734616,5.540116003,6.417353113,0.461891265,6.655453044,7.94131676,1.054700516,6.70265249,0.138892718,4.345656621
18/03/2022,5.441632426,0.198884681,2.749069624,0.13895224,3.541303098,1.251709841,1.429660353,3.366741722,2.00051611,4.024319588,0.576062003,6.056614355,0.190800909,6.655596092,7.292909947,7.891831397,3.515019939,7.843736629,1.011220042,0.13906897,0.139164476,0.139019215,0.143207079,0.139227764,0.139157158,0.139233821,0.139322971,0.139768406,0.139228336,0.139554441,0.139328265,0.139350941,0.138988529,0.139268387,0.139602065,6.052860114,3.06441943,6.493239763,6.633775774,0.637143454,2.114539743,6.440914751,0.393491108,0.392949219,4.023463479,5.594383507,0.662701433,0.13955312
